class,member,classification,reason
MovableObject,m_MOID,identity,assigned by UpdateMOID from the MOID layer draw each frame; a clone adopts the original's or registers fresh ones
MovableObject,m_RootMOID,identity,assigned by UpdateMOID from the MOID layer draw each frame; a clone adopts the original's or registers fresh ones
MovableObject,m_MOIDFootprint,identity,assigned by UpdateMOID from the MOID layer draw each frame
MovableObject,m_ThreadedLuaState,link,the Lua state the object binds to when its scripts initialize; the probe's set-aside originals keep theirs
MovableObject,m_ScriptIsEnabled,reconstructed,per-function flag rebuilt from m_AllLoadedScripts when the scripts initialize; the Lua-side object state is outside the native boundary (probe: set-aside originals; heal: the save format)
MovableObject,m_LuaFunction,reconstructed,rebuilt from m_AllLoadedScripts when the scripts initialize; the Lua-side object state is outside the native boundary
MovableObject,m_ScriptObjectName,reconstructed,derived from the unique id when the scripts initialize
MovableObject,m_FunctionsAndScripts,reconstructed,rebuilt from m_AllLoadedScripts when the scripts initialize
MOSprite,m_GraphicalIcon,render,GUI icon bitmap fetched from m_IconFile in Create
MOSRotating,m_FaithfulFarthestAttachableDistanceAndRadius,copied,the faithful carrier of m_FarthestAttachableDistanceAndRadius laid back at link resolution
MOSRotating,m_EntryWoundBurstSoundPlayedThisFrame,transient,cleared in Update before any read each tick
MOSRotating,m_ExitWoundBurstSoundPlayedThisFrame,transient,cleared in Update before any read each tick
MOSRotating,m_ReferenceHardcodedAttachableUniqueIDs,transient,scratch filled and cleared inside Create
MOSRotating,m_FlashWhiteTimer,render,real-time white-flash draw effect
MOSRotating,m_pFlipBitmap,render,scratch bitmap for flipped drawing created per object
MOSRotating,m_pFlipBitmapS,render,scratch bitmap for flipped MOID drawing created per object
Attachable,m_Parent,link,set by the parent's attachable copy through SetParent
Attachable,m_AtomSubgroupID,identity,the attachable's unique id; re-keyed at unique-id adoption (RenameSubgroup)
Actor,m_pHitBody,outside,declared and never assigned or read
Actor,m_pControllerIcon,render,HUD icon pointer
Actor,m_OffWireAimTick,transient,the owner's pending one-shot intent for the current tick consumed by that tick's frame snapshot; nothing is pending between ticks
Actor,m_OffWireAim,transient,the owner's pending one-shot intent for the current tick consumed by that tick's frame snapshot
Actor,m_OffWireFlipTick,transient,the owner's pending one-shot intent for the current tick consumed by that tick's frame snapshot
